Job ID,Current Time,Computing Time,Estimated Duration,Finished In Time
0,11.950712866457572,11.950712866457572,24.74863873425637,True
1,13.065960359783178,13.065960359783178,17.459017539944202,True
2,16.080884870989692,16.080884870989692,24.491234465934586,True
4,16.439128712007815,15.439128712007815,26.76678153175536,True
7,16.637714007371493,14.637714007371493,28.509809864157788,True
6,17.314289109428966,16.314289109428966,25.06404210717283,True
5,18.256194711952006,17.256194711952006,30.03663519574623,True
3,20.35221655721122,20.35221655721122,23.475715932382126,True
8,22.24978186185194,20.24978186185194,27.98595258481433,True
9,23.37478470221945,21.37478470221945,27.80289688663172,True
10,25.49392984468189,23.49392984468189,24.055997863575875,True
14,27.41891426970016,23.41891426970016,27.238403105613553,True
11,27.605541731828538,24.605541731828538,26.995261192965067,True
17,30.99738318559475,25.99738318559475,25.44693346686972,False
15,32.343682134921615,28.343682134921615,26.799886484477465,False
12,33.93782739007382,30.93782739007382,24.101070746553972,False
16,34.24913539687434,29.249135396874337,24.502880012358606,False
19,37.31134199895603,30.31134199895603,22.666732153584586,False
18,38.95242504073377,32.95242504073377,22.12828253484339,False
20,39.13407883949381,32.13407883949381,28.37807380492334,False
13,45.96405024885129,41.96405024885129,28.295929225441878,False
21,50.96678334516578,42.96678334516578,23.229902128766405,False
31,58.32830499122436,45.32830499122436,27.703644737965956,False
25,61.456526971103216,51.456526971103216,23.681370178783503,False
34,63.830366245687216,49.830366245687216,26.436886468008616,False
30,63.93684738619911,50.93684738619911,26.175919164505594,False
23,65.14289223820099,56.142892238200986,27.03397649497058,False
26,66.27020649329839,54.27020649329839,26.25987679390104,False
29,74.02514209639789,61.025142096397886,24.70014200623936,False
27,74.27504974568035,62.27504974568035,27.620250365995293,False
28,75.7282954423298,63.728295442329795,27.984930865949256,False
22,77.15088253554654,68.15088253554654,25.756736088349708,False
33,80.58563986483509,67.58563986483509,25.84037984554076,False
32,80.94543212489707,67.94543212489707,23.720231159922502,False
37,87.48311272057612,73.48311272057612,31.542497253341264,False
24,87.95907567231808,78.95907567231808,26.880765394942024,False
45,88.19455455619645,71.19455455619645,24.199736772084464,False
35,93.65635649306196,79.65635649306196,20.163978111511412,False
55,94.02451962546687,72.02451962546687,23.388931984692928,False
38,101.76630515346537,86.76630515346537,27.387199383798986,False
39,102.43361297074509,87.43361297074509,25.941204651154578,False
36,106.55541637876154,92.55541637876154,29.987915266883373,False
41,109.912939282417,93.912939282417,29.995818841678616,False
43,109.912939282417,92.912939282417,22.073411589766557,False
47,111.03619592774452,93.03619592774452,24.254450072705826,False
64,115.57616837083968,90.57616837083968,20.224061700776417,False
57,115.62745820488023,92.62745820488023,21.55031232730334,False
51,117.13733352306241,97.13733352306241,20.300076374907725,False
63,117.41822605938209,92.41822605938209,22.312753707804188,False
44,117.74028039851652,100.74028039851652,23.81903303181391,False
58,118.42509645331734,95.42509645331734,26.766721691566584,False
46,121.33720354235128,103.33720354235128,26.663894943671977,False
49,121.53381191380741,102.53381191380741,26.11559515401161,False
56,121.53381191380741,99.53381191380741,22.50750747252314,False
70,122.05698578202102,94.05698578202102,24.694325131852874,False
52,122.39315947526494,102.39315947526494,22.134409248853213,False
53,123.51110068359141,102.51110068359141,26.915389198916642,False
60,124.16794108082037,101.16794108082037,27.104675877245604,False
65,125.0771687764402,100.0771687764402,25.47691111734772,False
74,125.32434811771714,96.32434811771714,28.443584410333518,False
40,125.97241367362696,110.97241367362696,28.186915503140423,False
42,126.80354781495744,110.80354781495744,26.817067935428696,False
59,127.22379967588891,104.22379967588891,29.722001033100806,False
67,128.17121933671913,102.17121933671913,30.278992477974903,False
66,130.04182090335445,104.04182090335445,28.350765468771442,False
48,131.54688234793858,112.54688234793858,22.0739587601808,False
50,133.64236608011143,113.64236608011143,27.263602692844294,False
72,134.01524165153182,106.01524165153182,22.149006344172573,False
54,134.2563978108559,112.2563978108559,22.54463737474749,False
69,135.8720863766525,108.8720863766525,25.68061779723564,False
71,140.25026763871494,112.25026763871494,26.971459243722105,False
62,141.48337796567245,117.48337796567245,26.104525500991823,False
61,141.89553590651104,117.89553590651104,25.732067198999214,False
68,142.3356075861493,115.33560758614931,30.89554772245972,False
84,144.0301095466884,110.03010954668841,27.28625987138902,False
73,144.07552006626295,115.07552006626295,24.889008667522916,False
79,144.8067198631328,112.8067198631328,26.081989555480263,False
98,146.88928019472004,106.88928019472004,21.35812301418779,False
87,148.13150324280312,113.13150324280312,20.995781476022838,False
78,148.5548781871393,117.55487818713931,27.836522556759544,False
86,149.24134952660344,114.24134952660344,30.254981718553157,False
77,149.26585587119368,118.26585587119368,23.024210326288454,False
75,149.87267426067132,119.87267426067132,30.55292635833642,False
82,152.12074816095196,118.12074816095196,29.9160090447704,False
89,152.20542079402784,114.20542079402784,27.112452894161983,False
113,152.5025155355471,107.5025155355471,28.940569464867373,False
81,152.79576450280166,118.79576450280166,27.42054385662696,False
85,152.81993567357853,117.81993567357853,26.587813900577373,False
76,153.12103459303546,122.12103459303546,23.487976031894227,False
88,153.3194046826772,117.3194046826772,23.912953948851776,False
99,153.92006790099705,112.92006790099705,21.75891353886623,False
97,154.31619329799682,115.31619329799682,30.033100623815645,False
100,154.56040636792875,113.56040636792875,26.979298250623057,False
92,155.0456742674846,116.0456742674846,20.008988192723578,False
83,155.3778116617779,121.37781166177791,27.488820063795476,False
101,155.74794945924415,114.74794945924415,25.64062532391724,False
110,156.23419180960263,112.23419180960263,28.275900989290232,False
90,156.49079035323615,118.49079035323615,20.842990901659178,False
107,156.6595453372282,113.6595453372282,31.168127050469135,False
