Job ID,Current Time,Computing Time,Estimated Duration,Finished In Time
0,4.015175655323909,4.015175655323909,24.74863873425637,True
1,4.090455160526195,4.090455160526195,17.459017539944202,True
3,4.35748406592431,4.35748406592431,23.475715932382126,True
2,4.983838038176775,4.983838038176775,24.491234465934586,True
4,6.040368467870668,5.040368467870668,26.76678153175536,True
6,7.1498163170265085,6.1498163170265085,25.06404210717283,True
5,7.292880940780924,6.292880940780924,30.03663519574623,True
8,7.912553389874921,5.912553389874921,27.98595258481433,True
9,8.140565000686827,6.140565000686827,27.80289688663172,True
10,8.500861538543711,6.500861538543711,24.055997863575875,True
11,8.82614344963284,5.8261434496328395,26.995261192965067,True
7,8.82614344963284,6.8261434496328395,28.509809864157788,True
12,9.919339099503336,6.919339099503336,24.101070746553972,True
13,10.425810457927312,6.425810457927312,28.295929225441878,True
15,11.3541098297768,7.3541098297767995,26.799886484477465,True
16,11.40772470818586,6.40772470818586,24.502880012358606,True
14,11.434010334620481,7.434010334620481,27.238403105613553,True
17,11.801024017889903,6.801024017889903,25.44693346686972,True
18,12.208997634024422,6.208997634024422,22.12828253484339,True
19,12.536184840279379,5.536184840279379,22.666732153584586,True
20,13.794590381351075,6.794590381351075,28.37807380492334,True
21,13.84423339218889,5.84423339218889,23.229902128766405,True
23,14.263816214401693,5.263816214401693,27.03397649497058,True
22,15.219571283695739,6.219571283695739,25.756736088349708,True
24,15.507441366392342,6.507441366392342,26.880765394942024,True
25,15.57877571420355,5.57877571420355,23.681370178783503,True
26,19.236637746273246,7.236637746273246,26.25987679390104,True
28,19.605641405613245,7.605641405613245,27.984930865949256,True
27,20.472023357965316,8.472023357965316,27.620250365995293,True
30,21.316754556566153,8.316754556566153,26.175919164505594,True
29,21.763250206652966,8.763250206652966,24.70014200623936,True
31,22.401722079396567,9.401722079396567,27.703644737965956,True
33,22.538199480816946,9.538199480816946,25.84037984554076,True
32,23.016849654096976,10.016849654096976,23.720231159922502,True
34,23.819847005980183,9.819847005980183,26.436886468008616,True
35,23.919523243006118,9.919523243006118,20.163978111511412,True
36,24.210786627673087,10.210786627673087,29.987915266883373,True
37,24.580152515147812,10.580152515147812,31.542497253341264,True
39,25.80509977680487,10.80509977680487,25.941204651154578,True
38,25.80509977680487,10.80509977680487,27.387199383798986,True
40,26.77222815748979,11.772228157489788,28.186915503140423,True
42,26.93514349692833,10.93514349692833,26.817067935428696,True
41,27.287122800537002,11.287122800537002,29.995818841678616,True
43,28.21200793305291,11.21200793305291,22.073411589766557,True
45,28.774028552118043,11.774028552118043,24.199736772084464,True
44,28.774028552118043,11.774028552118043,23.81903303181391,True
47,30.19652130057521,12.19652130057521,24.254450072705826,True
46,30.383759237678532,12.383759237678532,26.663894943671977,True
48,30.685866067812753,11.685866067812753,22.0739587601808,True
49,31.552812612911115,12.552812612911115,26.11559515401161,True
50,32.353432646654646,12.353432646654646,27.263602692844294,True
51,32.3681709649542,12.368170964954203,20.300076374907725,True
52,32.75595380226477,12.75595380226477,22.134409248853213,True
53,33.91092949762077,12.91092949762077,26.915389198916642,True
54,34.53575266485413,12.53575266485413,22.54463737474749,True
55,35.032705806904474,13.032705806904474,23.388931984692928,True
56,35.39357314330629,13.393573143306291,22.50750747252314,True
57,36.09467696839345,13.09467696839345,21.55031232730334,True
60,36.847109671924066,13.847109671924066,27.104675877245604,True
58,36.84927498496512,13.84927498496512,26.766721691566584,True
59,37.04249087817129,14.042490878171293,29.722001033100806,True
62,37.18404918855836,13.184049188558362,26.104525500991823,True
61,38.12668011894219,14.12668011894219,25.732067198999214,True
64,39.75886935768882,14.758869357688823,20.224061700776417,True
63,39.94298919701912,14.942989197019124,22.312753707804188,True
65,40.17905056608079,15.17905056608079,25.47691111734772,True
66,40.71381206078821,14.713812060788207,28.350765468771442,True
67,41.23235305914876,15.232353059148757,30.278992477974903,True
69,41.79983896005337,14.799838960053371,25.68061779723564,True
68,42.256707505823606,15.256707505823606,30.89554772245972,True
70,43.8030581768541,15.803058176854101,24.694325131852874,True
71,43.81297871256873,15.812978712568729,26.971459243722105,True
72,44.155834712545236,16.155834712545236,22.149006344172573,True
74,44.17952810927857,15.179528109278571,28.443584410333518,True
73,44.4672260553793,15.4672260553793,24.889008667522916,True
75,44.810363947266296,14.810363947266296,30.55292635833642,True
77,46.05469461271619,15.05469461271619,23.024210326288454,True
76,46.66088553036779,15.660885530367793,23.487976031894227,True
78,47.037813678098935,16.037813678098935,27.836522556759544,True
79,48.6981649117363,16.6981649117363,26.081989555480263,True
80,49.26724183977271,16.26724183977271,28.817885746957927,True
81,49.97013456832429,15.97013456832429,27.42054385662696,True
83,50.04659243253461,16.04659243253461,27.488820063795476,True
84,51.170842989100265,17.170842989100265,27.28625987138902,True
82,51.70060736493022,17.70060736493022,29.9160090447704,True
85,52.1089960910682,17.1089960910682,26.587813900577373,True
87,54.44581219183844,19.445812191838442,20.995781476022838,True
88,54.887086982313015,18.887086982313015,23.912953948851776,True
86,55.00400926003396,20.00400926003396,30.254981718553157,True
90,57.62800724875739,19.628007248757392,20.842990901659178,True
89,58.31909861228643,20.31909861228643,27.112452894161983,True
93,58.459988993145096,19.459988993145096,16.865386465396206,False
92,58.594593897053784,19.594593897053784,20.008988192723578,True
96,59.650348123494624,20.650348123494624,22.493723635616597,True
91,60.25355913144014,21.25355913144014,26.59786435759017,True
95,60.25355913144014,21.25355913144014,30.261869337957073,True
94,60.25355913144014,21.25355913144014,25.971244331500337,True
97,63.036934657678074,24.036934657678074,30.033100623815645,True
